# # frequency [invcm]  IR intensity [a.u.]
2.961368500000000040e+03  8.596108099999999297e+01
2.968320000000000164e+03  8.890718999999999994e+01
2.975271600000000035e+03  9.196289199999999653e+01
2.982223199999999906e+03  9.499856699999999421e+01
2.989174700000000030e+03  9.792496699999999521e+01
2.996126299999999901e+03  1.007047400000000010e+02
3.003077900000000227e+03  1.033446600000000046e+02
3.010029500000000098e+03  1.058731400000000065e+02
3.016981000000000222e+03  1.083142100000000028e+02
3.023932600000000093e+03  1.106704100000000039e+02
3.030884199999999964e+03  1.129233399999999961e+02
3.037835700000000088e+03  1.150519900000000035e+02
3.044787299999999959e+03  1.170596400000000017e+02
3.051738899999999830e+03  1.189951499999999953e+02
3.058690399999999954e+03  1.209557899999999933e+02
3.065641999999999825e+03  1.230666300000000035e+02
3.072593600000000151e+03  1.254434799999999939e+02
3.079545099999999820e+03  1.281550599999999918e+02
3.086496700000000146e+03  1.312032800000000066e+02
3.093448300000000017e+03  1.345341300000000047e+02
3.100399899999999889e+03  1.380792800000000113e+02
3.107351400000000012e+03  1.418149099999999976e+02
3.114302999999999884e+03  1.458153900000000078e+02
3.121254600000000210e+03  1.502798500000000104e+02
3.128206099999999878e+03  1.555187799999999925e+02
3.135157700000000204e+03  1.619022199999999998e+02
3.142109300000000076e+03  1.697848500000000058e+02
3.149060800000000199e+03  1.794305899999999951e+02
3.156012400000000071e+03  1.909586099999999931e+02
3.162963999999999942e+03  2.043250600000000077e+02
3.169915500000000065e+03  2.193441400000000101e+02
3.176867099999999937e+03  2.357426000000000101e+02
3.183818699999999808e+03  2.532352300000000014e+02
3.190770300000000134e+03  2.716056800000000067e+02
3.197721799999999803e+03  2.907748399999999833e+02
3.204673400000000129e+03  3.108381400000000099e+02
3.211625000000000000e+03  3.320539699999999925e+02
3.218576500000000124e+03  3.547720199999999977e+02
3.225528099999999995e+03  3.793044399999999996e+02
3.232479699999999866e+03  4.057638099999999781e+02
3.239431199999999990e+03  4.339140400000000000e+02
3.246382799999999861e+03  4.630930900000000179e+02
3.253334400000000187e+03  4.922604400000000169e+02
3.260285899999999856e+03  5.201928199999999833e+02
3.267237500000000182e+03  5.458056000000000267e+02
3.274189100000000053e+03  5.685273399999999810e+02
3.281140600000000177e+03  5.886235699999999724e+02
3.288092200000000048e+03  6.073667400000000498e+02
3.295043799999999919e+03  6.269884600000000319e+02
3.301995399999999790e+03  6.504157800000000407e+02
3.308946899999999914e+03  6.808632999999999811e+02
3.315898499999999785e+03  7.214003800000000410e+02
3.322850100000000111e+03  7.746195400000000291e+02
3.329801599999999780e+03  8.424956700000000183e+02
3.336753200000000106e+03  9.264605900000000247e+02
3.343704799999999977e+03  1.027649699999999939e+03
3.350656300000000101e+03  1.147230399999999918e+03
3.357607899999999972e+03  1.286712399999999889e+03
3.364559499999999844e+03  1.448155999999999949e+03
3.371510999999999967e+03  1.634234200000000101e+03
3.378462599999999838e+03  1.848127099999999928e+03
3.385414200000000164e+03  2.093244999999999891e+03
3.392365800000000036e+03  2.372771999999999935e+03
3.399317300000000159e+03  2.689027999999999793e+03
3.406268900000000031e+03  3.042673099999999977e+03
3.413220499999999902e+03  3.431836499999999887e+03
3.420172000000000025e+03  3.851330500000000029e+03
3.427123599999999897e+03  4.292174100000000180e+03
3.434075200000000223e+03  4.741658599999999751e+03
3.441026699999999892e+03  5.184120200000000295e+03
3.447978300000000218e+03  5.602428799999999683e+03
3.454929900000000089e+03  5.980007300000000214e+03
3.461881400000000212e+03  6.303012399999999616e+03
3.468833000000000084e+03  6.562210799999999836e+03
3.475784599999999955e+03  6.754114599999999882e+03
3.482736199999999826e+03  6.881094500000000153e+03
3.489687699999999950e+03  6.950440300000000207e+03
3.496639299999999821e+03  6.972592400000000453e+03
3.503590900000000147e+03  6.958962700000000041e+03
3.510542399999999816e+03  6.919835900000000038e+03
3.517494000000000142e+03  6.862776600000000144e+03
3.524445600000000013e+03  6.791808200000000397e+03
3.531397100000000137e+03  6.707415600000000268e+03
3.538348700000000008e+03  6.607246799999999894e+03
3.545300299999999879e+03  6.487262999999999920e+03
3.552251800000000003e+03  6.343058699999999590e+03
3.559203399999999874e+03  6.171100000000000364e+03
3.566155000000000200e+03  5.969698099999999613e+03
3.573106600000000071e+03  5.739608599999999569e+03
3.580058100000000195e+03  5.484205500000000029e+03
3.587009700000000066e+03  5.209232200000000375e+03
3.593961299999999937e+03  4.922176900000000387e+03
3.600912800000000061e+03  4.631372000000000298e+03
3.607864399999999932e+03  4.344966000000000349e+03
3.614815999999999804e+03  4.069950400000000172e+03
3.621767499999999927e+03  3.811421100000000024e+03
3.628719099999999798e+03  3.572207699999999932e+03
3.635670700000000124e+03  3.352911000000000058e+03
3.642622199999999793e+03  3.152292800000000170e+03
3.649573800000000119e+03  2.967873500000000149e+03
3.656525399999999991e+03  2.796559999999999945e+03
3.663476999999999862e+03  2.635153999999999996e+03
3.670428499999999985e+03  2.480660600000000159e+03
3.677380099999999857e+03  2.330409599999999955e+03
3.684331700000000183e+03  2.182071600000000217e+03
3.691283199999999852e+03  2.033673900000000003e+03
3.698234800000000178e+03  1.883693600000000060e+03
3.705186400000000049e+03  1.731241800000000012e+03
3.712137900000000172e+03  1.576285900000000083e+03
3.719089500000000044e+03  1.419812400000000025e+03
3.726041099999999915e+03  1.263841200000000072e+03
3.732992600000000039e+03  1.111238000000000056e+03
3.739944199999999910e+03  9.653431799999999612e+02
3.746895799999999781e+03  8.294906399999999849e+02
